SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-6-2017,Single Family Residential,6851 Kenilworth Ave,El Cerrito,CA,94530,935000,3,2.0,Junction Heights,1602,5000,1958,27,584,,Sold,,,http://www.redfin.com/CA/El-Cerrito/6851-Kenilworth-Ave-94530/home/1672248,EBRD/CCAR/Bay East,40767133,N,Y,37.9281034,-122.3098972
PAST SALE,,Single Family Residential,21 Ripley Ave,Richmond,CA,94801,210000,3,2.0,,1087,3125,1992,,193,,,,,http://www.redfin.com/CA/Richmond/21-Ripley-Ave-94801/home/1176903,,,N,Y,37.940592,-122.368864
PAST SALE,,Single Family Residential,846 7th St,Richmond,CA,94801,58000,2,1.0,,909,4000,1951,,64,,,,,http://www.redfin.com/CA/Richmond/846-7th-St-94801/home/799202,,,N,Y,37.94537,-122.3624946
PAST SALE,February-23-2017,Single Family Residential,436 5th St,Richmond,CA,94801,165000,2,1.0,Richmond,924,4294,1915,10,179,,Sold,,,http://www.redfin.com/CA/Richmond/436-5th-St-94801/home/1953504,EBRD/CCAR/Bay East,40761942,N,Y,37.9375,-122.364423
PAST SALE,February-28-2017,Single Family Residential,653 6th St,Richmond,CA,94801,305000,3,1.5,Iron Triangle,1014,2688,1910,5,301,,Sold,,,http://www.redfin.com/CA/Richmond/653-6th-St-94801/home/1791457,EBRD/CCAR/Bay East,40768254,N,Y,37.9414069,-122.3636726
PAST SALE,February-13-2017,Condo/Co-op,241 Lakeshore Ct,Richmond,CA,94804,325000,1,1.0,Richmond,690,2126,1989,20,471,360,Sold,,,http://www.redfin.com/CA/Richmond/241-Lakeshore-Ct-94804/unit-484/home/12128888,EBRD/CCAR/Bay East,40764717,N,Y,37.9095303,-122.3444003
PAST SALE,February-27-2017,Condo/Co-op,1860 Tice Creek Dr #1246,Walnut Creek,CA,94595,335000,2,1.5,Rossmoor,920,,1990,6,364,2056,Sold,,,http://www.redfin.com/CA/Walnut-Creek/1860-Tice-Creek-Dr-94595/unit-1246/home/1355724,EBRD/CCAR/Bay East,40766545,N,Y,37.8721908,-122.0750368
PAST SALE,,Vacant Land,453 Portsmouth Dr,Brentwood,CA,94513,673000,,,,,8474,,,,,,,,http://www.redfin.com/CA/Brentwood/453-Portsmouth-Dr-94513/home/23392785,,,N,Y,37.950483,-121.686409
PAST SALE,February-3-2017,Single Family Residential,417 Bayonett Ct,Brentwood,CA,94513,675000,4,3.0,Deer Ridge,3305,7169,2002,30,204,,Sold,,,http://www.redfin.com/CA/Brentwood/417-Bayonett-Ct-94513/home/1235432,EBRD/CCAR/Bay East,40766623,N,Y,37.921401,-121.744604
PAST SALE,February-22-2017,Single Family Residential,1906 Yardley Ct,Concord,CA,94521-1634,662000,4,2.0,Kirkwood Knolls,1926,9600,1976,11,344,,Sold,,,http://www.redfin.com/CA/Concord/1906-Yardley-Ct-94521/home/1875419,EBRD/CCAR/Bay East,40767668,N,Y,37.957281,-121.942067
